Time, Disp
0.637,10.5623
0.638,10.6586
0.639,10.7623
0.64,10.8731
0.641,10.991
0.642,11.1159
0.643,11.2477
0.644,11.3862
0.645,11.5314
0.646,11.683
0.647,11.8409
0.648,12.0051
0.649,12.1753
0.65,12.3514
0.651,12.5331
0.652,12.7205
0.653,12.9132
0.654,13.111
0.655,13.3139
0.656,13.5216
0.657,13.7339
0.658,13.9506
0.659,14.1715
0.66,14.3963
0.661,14.625
0.662,14.8571
0.663,15.0926
0.664,15.3312
0.665,15.5727
0.666,15.8167
0.667,16.0632
0.668,16.3117
0.669,16.5622
0.67,16.8143
0.671,17.0677
0.672,17.3223
0.673,17.5777
0.674,17.8338
0.675,18.0902
0.676,18.3466
0.677,18.6029
0.678,18.8587
0.679,19.1137
0.68,19.3678
0.681,19.6205
0.682,19.8717
0.683,20.1211
0.684,20.3684
0.685,20.6132
0.686,20.8555
0.687,21.0947
0.688,21.3308
0.689,21.5634
0.69,21.7922
0.691,22.017
0.692,22.2375
0.693,22.4534
0.694,22.6644
0.695,22.8703
0.696,23.0709
0.697,23.2658
0.698,23.4547
0.699,23.6375
0.7,23.8139
0.701,23.9836
0.702,24.1463
0.703,24.3019
0.704,24.45
0.705,24.5904
0.706,24.7229
0.707,24.8473
0.708,24.9632
0.709,25.0706
0.71,25.1691
0.711,25.2586
0.712,25.3388
0.713,25.4096
0.714,25.4707
0.715,25.5219
0.716,25.563
0.717,25.5938
0.718,25.6143
0.719,25.6241
0.72,25.6231
0.721,25.6112
0.722,25.5881
0.723,25.5538
0.724,25.5081
0.725,25.4508
0.726,25.3819
0.727,25.3011
0.728,25.2084
0.729,25.1037
0.73,24.9868
0.731,24.8577
0.732,24.7162
0.733,24.5623
0.734,24.3959
0.735,24.217
0.736,24.0254
0.737,23.8211
0.738,23.6041
0.739,23.3743
0.74,23.1317
0.741,22.8762
0.742,22.608
0.743,22.3268
0.744,22.0328
0.745,21.726
0.746,21.4063
0.747,21.0739
0.748,20.7286
0.749,20.3707
0.75,20
0.751,19.6167
0.752,19.2208
0.753,18.8125
0.754,18.3917
0.755,17.9586
0.756,17.5132
0.757,17.0558
0.758,16.5862
0.759,16.1048
0.76,15.6117
0.761,15.1068
0.762,14.5905
0.763,14.0629
0.764,13.524
0.765,12.9741
0.766,12.4133
0.767,11.8419
0.768,11.26
0.769,10.6678
0.77,10.0654
0.771,9.45322
0.772,8.83133
0.773,8.19998
0.774,7.5594
0.775,6.90983
0.776,6.2515
0.777,5.58466
0.778,4.90956
0.779,4.22647
0.78,3.53564
0.781,2.83734
0.782,2.13186
0.783,1.41946
0.784,0.700448
0.785,-0.024899
0.786,-0.756281
0.787,-1.4934
0.788,-2.23594
0.789,-2.98361
0.79,-3.73607
0.791,-4.49303
0.792,-5.25415
0.793,-6.01911
0.794,-6.78757
0.795,-7.55922
0.796,-8.3337
0.797,-9.11069
0.798,-9.88983
0.799,-10.6708
0.8,-11.4532
0.801,-12.2368
0.802,-13.0211
0.803,-13.8058
0.804,-14.5906
0.805,-15.3751
0.806,-16.1589
0.807,-16.9418
0.808,-17.7232
0.809,-18.503
0.81,-19.2806
0.811,-20.0558
0.812,-20.8282
0.813,-21.5974
0.814,-22.3631
0.815,-23.1249
0.816,-23.8824
0.817,-24.6354
0.818,-25.3833
0.819,-26.126
0.82,-26.863
0.821,-27.594
0.822,-28.3186
0.823,-29.0365
0.824,-29.7474
0.825,-30.4508
0.826,-31.1466
0.827,-31.8342
0.828,-32.5135
0.829,-33.184
0.83,-33.8454
0.831,-34.4975
0.832,-35.1399
0.833,-35.7722
0.834,-36.3943
0.835,-37.0057
0.836,-37.6062
0.837,-38.1955
0.838,-38.7733
0.839,-39.3393
0.84,-39.8933
0.841,-40.4349
