Time, Disp
0.493,-39.8034
0.494,-39.8555
0.495,-39.8996
0.496,-39.9357
0.497,-39.9638
0.498,-39.9839
0.499,-39.996
0.5,-40
0.501,-39.996
0.502,-39.9839
0.503,-39.9638
0.504,-39.9357
0.505,-39.8996
0.506,-39.8555
0.507,-39.8034
0.508,-39.7435
0.509,-39.6756
0.51,-39.6
0.511,-39.5165
0.512,-39.4253
0.513,-39.3264
0.514,-39.2199
0.515,-39.1059
0.516,-38.9843
0.517,-38.8554
0.518,-38.7192
0.519,-38.5757
0.52,-38.4251
0.521,-38.2675
0.522,-38.1029
0.523,-37.9315
0.524,-37.7533
0.525,-37.5685
0.526,-37.3772
0.527,-37.1795
0.528,-36.9755
0.529,-36.7654
0.53,-36.5492
0.531,-36.3272
0.532,-36.0994
0.533,-35.866
0.534,-35.6271
0.535,-35.3829
0.536,-35.1336
0.537,-34.8792
0.538,-34.6199
0.539,-34.3559
0.54,-34.0873
0.541,-33.8143
0.542,-33.537
0.543,-33.2556
0.544,-32.9703
0.545,-32.6813
0.546,-32.3886
0.547,-32.0925
0.548,-31.7931
0.549,-31.4907
0.55,-31.1852
0.551,-30.877
0.552,-30.5662
0.553,-30.253
0.554,-29.9375
0.555,-29.6199
0.556,-29.3004
0.557,-28.9791
0.558,-28.6563
0.559,-28.332
0.56,-28.0064
0.561,-27.6797
0.562,-27.3521
0.563,-27.0237
0.564,-26.6947
0.565,-26.3653
0.566,-26.0355
0.567,-25.7056
0.568,-25.3757
0.569,-25.046
0.57,-24.7165
0.571,-24.3875
0.572,-24.0591
0.573,-23.7314
0.574,-23.4045
0.575,-23.0787
0.576,-22.754
0.577,-22.4305
0.578,-22.1084
0.579,-21.7878
0.58,-21.4688
0.581,-21.1516
0.582,-20.8361
0.583,-20.5227
0.584,-20.2112
0.585,-19.9019
0.586,-19.5948
0.587,-19.2901
0.588,-18.9878
0.589,-18.6879
0.59,-18.3906
0.591,-18.096
0.592,-17.804
0.593,-17.5149
0.594,-17.2285
0.595,-16.9451
0.596,-16.6645
0.597,-16.3869
0.598,-16.1124
0.599,-15.8409
0.6,-15.5725
0.601,-15.3072
0.602,-15.045
0.603,-14.786
0.604,-14.5301
0.605,-14.2774
0.606,-14.0278
0.607,-13.7814
0.608,-13.5382
0.609,-13.2981
0.61,-13.0612
0.611,-12.8273
0.612,-12.5966
0.613,-12.3689
0.614,-12.1442
0.615,-11.9225
0.616,-11.7038
0.617,-11.4879
0.618,-11.2749
0.619,-11.0647
0.62,-10.8572
0.621,-10.6524
0.622,-10.4502
0.623,-10.2505
0.624,-10.0532
0.625,-9.85839
0.626,-9.66584
0.627,-9.4755
0.628,-9.2873
0.629,-9.10113
0.63,-8.9169
0.631,-8.73452
0.632,-8.55389
0.633,-8.37491
0.634,-8.19747
0.635,-8.02146
0.636,-7.84678
0.637,-7.67331
0.638,-7.50095
0.639,-7.32957
0.64,-7.15906
0.641,-6.9893
0.642,-6.82018
0.643,-6.65157
0.644,-6.48334
0.645,-6.31538
0.646,-6.14757
0.647,-5.97976
0.648,-5.81185
0.649,-5.64371
0.65,-5.47521
0.651,-5.30622
0.652,-5.13661
0.653,-4.96627
0.654,-4.79507
0.655,-4.62287
0.656,-4.44957
0.657,-4.27502
0.658,-4.09912
0.659,-3.92174
0.66,-3.74275
0.661,-3.56205
0.662,-3.37951
0.663,-3.19501
0.664,-3.00845
0.665,-2.81971
0.666,-2.62868
0.667,-2.43525
0.668,-2.23932
0.669,-2.04079
0.67,-1.83955
0.671,-1.63551
0.672,-1.42857
0.673,-1.21864
0.674,-1.00563
0.675,-0.789466
0.676,-0.570051
0.677,-0.347313
0.678,-0.121176
0.679,0.108432
0.68,0.341578
0.681,0.578327
0.682,0.818738
0.683,1.06287
0.684,1.31077
0.685,1.56249
0.686,1.81807
0.687,2.07755
0.688,2.34097
0.689,2.60835
0.69,2.87973
0.691,3.15512
0.692,3.43455
0.693,3.71802
0.694,4.00554
0.695,4.29712
0.696,4.59274
0.697,4.89242
0.698,5.19613
0.699,5.50386
0.7,5.81559
0.701,6.1313
0.702,6.45095
0.703,6.7745
0.704,7.10193
0.705,7.43318
0.706,7.7682
0.707,8.10695
0.708,8.44935
0.709,8.79536
0.71,9.14489
0.711,9.49789
0.712,9.85426
0.713,10.2139
0.714,10.5768
0.715,10.9428
0.716,11.3119
0.717,11.6839
0.718,12.0586
0.719,12.4362
0.72,12.8163
0.721,13.1989
0.722,13.5839
0.723,13.9712
0.724,14.3605
0.725,14.7519
0.726,15.1452
0.727,15.5401
0.728,15.9367
0.729,16.3347
0.73,16.734
0.731,17.1345
0.732,17.5359
0.733,17.9382
0.734,18.3412
0.735,18.7448
0.736,19.1487
0.737,19.5528
0.738,19.9569
0.739,20.361
0.74,20.7648
0.741,21.1681
0.742,21.5707
0.743,21.9726
0.744,22.3735
0.745,22.7733
0.746,23.1717
0.747,23.5686
0.748,23.9639
0.749,24.3573
0.75,24.7487
0.751,25.1379
0.752,25.5248
0.753,25.909
0.754,26.2906
0.755,26.6693
0.756,27.0448
0.757,27.4172
0.758,27.7861
0.759,28.1515
0.76,28.513
0.761,28.8707
0.762,29.2243
0.763,29.5736
0.764,29.9186
0.765,30.2589
0.766,30.5945
0.767,30.9253
0.768,31.251
0.769,31.5715
0.77,31.8867
0.771,32.1965
0.772,32.5006
0.773,32.799
0.774,33.0915
0.775,33.3779
0.776,33.6583
0.777,33.9323
0.778,34.2
0.779,34.4612
0.78,34.7158
0.781,34.9637
0.782,35.2047
0.783,35.4389
0.784,35.666
0.785,35.886
0.786,36.0988
0.787,36.3044
0.788,36.5026
0.789,36.6934
0.79,36.8767
0.791,37.0525
0.792,37.2206
0.793,37.3811
0.794,37.5339
0.795,37.679
0.796,37.8163
0.797,37.9457
0.798,38.0673
0.799,38.1811
0.8,38.287
0.801,38.385
0.802,38.4751
0.803,38.5572
0.804,38.6315
0.805,38.698
0.806,38.7565
